index,Development Name,Borough,Account Name,Location,Meter AMR,Meter Scope,TDS #,EDP,RC Code,Funding Source,AMP #,Vendor Name,UMIS BILL ID,Revenue Month,Service Start Date,Service End Date,# days,Meter Number,Estimated,Current Charges,Consumption (GAL)
0,ADAMS,BRONX,ADAMS,,Not Applicable,,118,248,B011800,FEDERAL,NY005001180P,"S.J. Fuel Co., Inc.",2897085,2010-01,12/24/2009,01/26/2010,33,395416152700002-OIL,N,303.47,148.0
1,ADAMS,BRONX,ADAMS,,Not Applicable,,118,248,B011800,FEDERAL,NY005001180P,"S.J. Fuel Co., Inc.",2897086,2010-02,01/26/2010,02/25/2010,30,395416152700002-OIL,N,504.41,246.0
2,ADAMS,BRONX,ADAMS,,Not Applicable,,118,248,B011800,FEDERAL,NY005001180P,"S.J. Fuel Co., Inc.",2897087,2010-03,02/25/2010,03/26/2010,29,395416152700002-OIL,N,200.94,98.0
3,ADAMS,BRONX,ADAMS,,Not Applicable,,118,248,B011800,FEDERAL,NY005001180P,"S.J. Fuel Co., Inc.",2897088,2010-05,04/26/2010,05/24/2010,28,395416152700002-OIL,N,789.42,385.0
4,ADAMS,BRONX,ADAMS,,Not Applicable,,118,248,B011800,FEDERAL,NY005001180P,"S.J. Fuel Co., Inc.",2897089,2010-06,05/24/2010,06/23/2010,30,395416152700002-OIL,N,488.01,238.0
5,ADAMS,BRONX,ADAMS,,Not Applicable,,118,248,B011800,FEDERAL,NY005001180P,"S.J. Fuel Co., Inc.",2897090,2010-07,06/23/2010,07/23/2010,30,395416152700002-OIL,N,982.63,422.0
6,ADAMS,BRONX,ADAMS,,Not Applicable,,118,248,B011800,FEDERAL,NY005001180P,"S.J. Fuel Co., Inc.",2897091,2010-08,07/23/2010,08/23/2010,31,395416152700002-OIL,N,710.19,305.0
7,ADAMS,BRONX,ADAMS,,Not Applicable,,118,248,B011800,FEDERAL,NY005001180P,"S.J. Fuel Co., Inc.",2897092,2010-09,08/23/2010,09/22/2010,30,395416152700002-OIL,N,246.82,106.0
8,ADAMS,BRONX,ADAMS,,Not Applicable,,118,248,B011800,FEDERAL,NY005001180P,"S.J. Fuel Co., Inc.",2897093,2010-10,09/22/2010,10/22/2010,30,395416152700002-OIL,N,1336.56,574.0
9,ADAMS,BRONX,ADAMS,,Not Applicable,,118,248,B011800,FEDERAL,NY005001180P,"S.J. Fuel Co., Inc.",2897094,2010-11,10/22/2010,11/22/2010,31,395416152700002-OIL,N,498.3,214.0
10,ADAMS,BRONX,ADAMS,,Not Applicable,,118,248,B011800,FEDERAL,NY005001180P,"S.J. Fuel Co., Inc.",2897095,2010-12,11/22/2010,12/23/2010,31,395416152700002-OIL,N,682.25,293.0
11,ALBANY/ALBANY II,BROOKLYN,ALBANY/ALBANY II,,Not Applicable,,31,0,K003100,,,"S.J. Fuel Co., Inc.",4294752,2010-01,12/29/2009,01/28/2010,30,0298920000-OIL-66.8%,N,428.37,205.74
12,ALBANY/ALBANY II,BROOKLYN,ALBANY/ALBANY II,,Not Applicable,,85,0,K008500,,,"S.J. Fuel Co., Inc.",4294752,2010-01,12/29/2009,01/28/2010,30,0298920000-OIL-33.2%,N,212.9,102.26
13,ALBANY/ALBANY II,BROOKLYN,ALBANY/ALBANY II,,Not Applicable,,31,0,K003100,,,"S.J. Fuel Co., Inc.",4294754,2010-11,10/25/2010,11/23/2010,29,0298920000-OIL-66.8%,N,13346.8,5570.45
